,R,G,B,hist,framenum,frameName
5,49.0,40.0,36.2,0.005,29.0,monstruo/monstruo-029.png
6,47.0,120.0,200.0,0.001,29.0,monstruo/monstruo-029.png
7,19.0,42.0,161.0,0.001,29.0,monstruo/monstruo-029.png
0,8.88489208633,3.8273381295,3.71462829736,0.417,30.0,monstruo/monstruo-030.png
1,13.2708333333,8.13194444444,7.52777777778,0.288,30.0,monstruo/monstruo-030.png
2,17.725388601,10.7202072539,7.60621761658,0.193,30.0,monstruo/monstruo-030.png
3,23.1857142857,16.2428571429,12.3,0.07,30.0,monstruo/monstruo-030.png
4,40.15,28.85,20.85,0.02,30.0,monstruo/monstruo-030.png
5,16.4444444444,12.6666666667,37.3333333333,0.009,30.0,monstruo/monstruo-030.png
6,18.0,18.5,75.0,0.002,30.0,monstruo/monstruo-030.png
7,105.0,107.0,85.0,0.001,30.0,monstruo/monstruo-030.png
0,8.83333333333,3.6724137931,4.0153256705,0.522,31.0,monstruo/monstruo-031.png
1,12.8721804511,7.72932330827,7.49248120301,0.266,31.0,monstruo/monstruo-031.png
2,19.1679389313,12.1908396947,9.47328244275,0.131,31.0,monstruo/monstruo-031.png
3,28.7959183673,19.5102040816,15.387755102,0.049,31.0,monstruo/monstruo-031.png
4,13.8333333333,8.38888888889,21.3333333333,0.018,31.0,monstruo/monstruo-031.png
5,42.5714285714,33.8571428571,29.8571428571,0.007,31.0,monstruo/monstruo-031.png
6,25.8,20.0,66.0,0.005,31.0,monstruo/monstruo-031.png
7,85.5,78.5,75.5,0.002,31.0,monstruo/monstruo-031.png
0,8.08823529412,3.08556149733,3.49465240642,0.374,32.0,monstruo/monstruo-032.png
1,10.0331753555,4.58293838863,5.15165876777,0.211,32.0,monstruo/monstruo-032.png
2,12.8684210526,7.13815789474,7.24342105263,0.152,32.0,monstruo/monstruo-032.png
3,24.25,15.6666666667,12.0520833333,0.096,32.0,monstruo/monstruo-032.png
4,16.2,9.76842105263,9.28421052632,0.095,32.0,monstruo/monstruo-032.png
5,19.4150943396,12.7358490566,13.320754717,0.053,32.0,monstruo/monstruo-032.png
6,9.94117647059,4.76470588235,15.3529411765,0.017,32.0,monstruo/monstruo-032.png
7,17.0,14.0,52.5,0.002,32.0,monstruo/monstruo-032.png
0,8.83273381295,3.69244604317,3.62050359712,0.556,33.0,monstruo/monstruo-033.png
1,12.4081632653,6.94557823129,6.92517006803,0.147,33.0,monstruo/monstruo-033.png
2,14.9619047619,9.7619047619,9.58095238095,0.105,33.0,monstruo/monstruo-033.png
3,22.8933333333,15.24,12.9733333333,0.075,33.0,monstruo/monstruo-033.png
4,26.8571428571,18.5892857143,16.0,0.056,33.0,monstruo/monstruo-033.png
5,11.2307692308,6.84615384615,12.9230769231,0.039,33.0,monstruo/monstruo-033.png
6,12.75,9.3125,22.5,0.016,33.0,monstruo/monstruo-033.png
7,15.6666666667,14.0,43.1666666667,0.006,33.0,monstruo/monstruo-033.png
0,8.55501618123,3.51294498382,3.99190938511,0.618,34.0,monstruo/monstruo-034.png
1,12.9590909091,7.95,9.14545454545,0.22,34.0,monstruo/monstruo-034.png
2,9.02941176471,6.39705882353,24.6470588235,0.068,34.0,monstruo/monstruo-034.png
3,23.3571428571,18.2380952381,16.4285714286,0.042,34.0,monstruo/monstruo-034.png
4,9.72,9.04,50.36,0.025,34.0,monstruo/monstruo-034.png
5,13.85,17.4,85.25,0.02,34.0,monstruo/monstruo-034.png
6,29.3333333333,43.6666666667,133.833333333,0.006,34.0,monstruo/monstruo-034.png
7,81.0,145.0,248.0,0.001,34.0,monstruo/monstruo-034.png
0,8.43238731219,3.46243739566,3.92821368948,0.599,35.0,monstruo/monstruo-035.png
1,10.8894009217,5.78341013825,7.18433179724,0.217,35.0,monstruo/monstruo-035.png
2,13.813559322,8.92372881356,10.4576271186,0.118,35.0,monstruo/monstruo-035.png
3,8.5,4.73076923077,18.2692307692,0.026,35.0,monstruo/monstruo-035.png
4,21.84,16.24,16.28,0.025,35.0,monstruo/monstruo-035.png
5,10.125,6.75,37.625,0.008,35.0,monstruo/monstruo-035.png
6,7.5,10.5,57.0,0.004,35.0,monstruo/monstruo-035.png
7,20.6666666667,20.3333333333,101.0,0.003,35.0,monstruo/monstruo-035.png
0,8.32718120805,3.37416107383,3.75167785235,0.596,36.0,monstruo/monstruo-036.png
1,11.1452991453,6.23931623932,7.24358974359,0.234,36.0,monstruo/monstruo-036.png
2,15.0683760684,10.1709401709,11.1025641026,0.117,36.0,monstruo/monstruo-036.png
3,10.7692307692,6.96153846154,22.6538461538,0.026,36.0,monstruo/monstruo-036.png
4,25.1333333333,19.7333333333,21.9333333333,0.015,36.0,monstruo/monstruo-036.png
5,12.3333333333,13.1666666667,77.0,0.006,36.0,monstruo/monstruo-036.png
6,2.4,3.2,52.6,0.005,36.0,monstruo/monstruo-036.png
7,29.0,47.0,126.0,0.001,36.0,monstruo/monstruo-036.png
0,8.20879120879,3.22344322344,3.71428571429,0.546,37.0,monstruo/monstruo-037.png
1,10.5743243243,5.7027027027,5.66891891892,0.148,37.0,monstruo/monstruo-037.png
2,13.1232876712,8.17808219178,8.17808219178,0.146,37.0,monstruo/monstruo-037.png
3,15.9537037037,10.9166666667,10.5092592593,0.108,37.0,monstruo/monstruo-037.png
4,19.9090909091,14.8484848485,15.4242424242,0.033,37.0,monstruo/monstruo-037.png
5,26.6363636364,21.0909090909,21.6363636364,0.011,37.0,monstruo/monstruo-037.png
6,10.4,5.4,18.4,0.005,37.0,monstruo/monstruo-037.png
7,14.6666666667,12.3333333333,36.6666666667,0.003,37.0,monstruo/monstruo-037.png
0,16.1748251748,10.3962703963,5.81118881119,0.429,38.0,monstruo/monstruo-038.png
1,8.89733840304,4.97338403042,3.37642585551,0.263,38.0,monstruo/monstruo-038.png
2,23.6610169492,16.4237288136,11.2485875706,0.177,38.0,monstruo/monstruo-038.png
3,34.8214285714,24.8392857143,17.5892857143,0.056,38.0,monstruo/monstruo-038.png
4,14.7,15.4333333333,20.7,0.03,38.0,monstruo/monstruo-038.png
5,16.9666666667,25.2,45.4666666667,0.03,38.0,monstruo/monstruo-038.png
6,33.5384615385,42.5384615385,62.3076923077,0.013,38.0,monstruo/monstruo-038.png
7,72.0,56.0,39.5,0.002,38.0,monstruo/monstruo-038.png
0,16.1060948081,10.2708803612,5.6388261851,0.443,39.0,monstruo/monstruo-039.png
